T,den,DG,rate,beta_TS
333.0,6.5,-25.14848575794514,100364004.54613064,0.39999999999999997
333.0,6.6000000000000005,-25.34848575794514,100366904.69298269,0.39999999999999997
333.0,6.7,-25.548485757945137,100369804.92363821,0.39999999999999997
333.0,6.800000000000001,-25.74848575794514,100372705.23809962,0.39999999999999997
333.0,6.9,-25.94848575794514,100375605.63636933,0.39999999999999997
333.0,7.0,-26.14848575794514,100378506.1184498,0.39999999999999997
333.0,7.1000000000000005,-26.34848575794514,100381406.68434341,0.39999999999999997
333.0,7.2,-26.548485757945137,100384307.33405259,0.39999999999999997
333.0,7.300000000000001,-26.74848575794514,100387208.06757979,0.39999999999999997
333.0,7.4,-26.94848575794514,100390108.8849274,0.39999999999999997
333.0,7.5,-27.14848575794514,100393009.78609787,0.39999999999999997
333.0,7.6000000000000005,-27.34848575794514,100395910.77109358,0.39999999999999997
333.0,7.7,-27.548485757945137,100398811.83991699,0.39999999999999997
333.0,7.800000000000001,-27.74848575794514,100401712.99257052,0.39999999999999997
333.0,7.9,-27.94848575794514,100404614.22905658,0.39999999999999997
333.0,8.0,-28.14848575794514,100407515.54937759,0.39999999999999997
334.0,0.0,-12.697577308267086,100183071.86364616,0.39999999999999997
334.0,0.1,-12.897577308267085,100185958.11467019,0.39999999999999997
334.0,0.2,-13.097577308267086,100188844.44884641,0.39999999999999997
334.0,0.30000000000000004,-13.297577308267085,100191730.86617728,0.39999999999999997
334.0,0.4,-13.497577308267086,100194617.36666515,0.39999999999999997
334.0,0.5,-13.697577308267086,100197503.95031244,0.39999999999999997
334.0,0.6000000000000001,-13.897577308267085,100200390.61712152,0.39999999999999997
334.0,0.7000000000000001,-14.097577308267086,100203277.3670948,0.39999999999999997
334.0,0.8,-14.297577308267085,100206164.2002347,0.39999999999999997
334.0,0.9,-14.497577308267086,100209051.11654356,0.39999999999999997
334.0,1.0,-14.697577308267086,100211938.11602382,0.39999999999999997
334.0,1.1,-14.897577308267085,100214825.19867785,0.39999999999999997
334.0,1.2000000000000002,-15.097577308267086,100217712.36450809,0.39999999999999997
334.0,1.3,-15.297577308267085,100220599.61351688,0.39999999999999997
334.0,1.4000000000000001,-15.497577308267086,100223486.94570667,0.39999999999999997
334.0,1.5,-15.697577308267086,100226374.36107981,0.39999999999999997
334.0,1.6,-15.897577308267085,100229261.85963872,0.39999999999999997
334.0,1.7000000000000002,-16.097577308267084,100232149.44138579,0.39999999999999997
334.0,1.8,-16.297577308267087,100235037.10632342,0.39999999999999997
334.0,1.9000000000000001,-16.497577308267086,100237924.85445403,0.39999999999999997
334.0,2.0,-16.697577308267086,100240812.68577996,0.39999999999999997
334.0,2.1,-16.897577308267085,100243700.60030365,0.39999999999999997
334.0,2.2,-17.097577308267084,100246588.59802748,0.39999999999999997
334.0,2.3000000000000003,-17.297577308267087,100249476.67895387,0.39999999999999997
334.0,2.4000000000000004,-17.497577308267086,100252364.8430852,0.39999999999999997
334.0,2.5,-17.697577308267086,100255253.09042385,0.39999999999999997
334.0,2.6,-17.897577308267085,100258141.42097224,0.39999999999999997
334.0,2.7,-18.097577308267084,100261029.83473277,0.39999999999999997
334.0,2.8000000000000003,-18.297577308267087,100263918.33170782,0.39999999999999997
334.0,2.9000000000000004,-18.497577308267086,100266806.91189979,0.39999999999999997
334.0,3.0,-18.697577308267086,100269695.57531111,0.39999999999999997
334.0,3.1,-18.897577308267085,100272584.32194415,0.39999999999999997
334.0,3.2,-19.097577308267084,100275473.15180127,0.39999999999999997
334.0,3.3000000000000003,-19.297577308267087,100278362.06488495,0.39999999999999997
334.0,3.4000000000000004,-19.497577308267086,100281251.06119752,0.39999999999999997
334.0,3.5,-19.697577308267086,100284140.14074142,0.39999999999999997
334.0,3.6,-19.897577308267085,100287029.30351903,0.39999999999999997
334.0,3.7,-20.097577308267084,100289918.54953273,0.39999999999999997
334.0,3.8000000000000003,-20.297577308267087,100292807.87878494,0.39999999999999997
334.0,3.9000000000000004,-20.497577308267086,100295697.29127808,0.39999999999999997
334.0,4.0,-20.697577308267086,100298586.78701448,0.39999999999999997
334.0,4.1000000000000005,-20.89757730826709,100301476.36599663,0.39999999999999997
334.0,4.2,-21.097577308267084,100304366.02822684,0.39999999999999997
334.0,4.3,-21.297577308267087,100307255.77370755,0.39999999999999997
334.0,4.4,-21.497577308267086,100310145.60244118,0.39999999999999997
334.0,4.5,-21.697577308267086,100313035.51443009,0.39999999999999997
334.0,4.6000000000000005,-21.89757730826709,100315925.5096767,0.39999999999999997
334.0,4.7,-22.097577308267084,100318815.58818339,0.39999999999999997
